Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
3.0,UTI,2,1,8,14,5,9,2,10,,9,6,13,1,10,1,5,2,4,3,2,,2,1,6,,6,2,5,,3,,8,31,107,138
4.0,APD,,,2,2,5,2,2,2,1,6,8,12,4,4,3,7,2,4,5,2,1,8,1,1,1,2,2,2,2,3,1,5,38,62,100
5.0,LACERATED WOUND,1,,11,7,8,5,10,3,4,1,3,,2,2,1,2,2,1,1,,2,2,3,1,,,,3,3,1,,2,41,30,71
6.0,ATP,1,,18,10,12,12,5,1,1,2,3,,,1,,,1,1,,,,1,,,,,,,,,,,36,28,64
7.0,SVI,1,2,12,10,6,8,1,2,1,,3,,,1,,,1,,1,,,,,,,,,,,,,,25,23,48
8.0,ACUTE GASTRITIS,2,1,6,10,10,4,,2,2,4,,,,,,1,,,1,,,2,,,,,,1,,1,,,21,26,47
9.0,HTN,,,,,,,,,1,,1,,,,2,,,1,2,5,7,3,1,4,4,3,1,3,2,2,1,3,22,24,46
10.0,URTI,4,1,6,5,6,4,1,,1,1,2,1,,,,,,,,,,,,,,,,,,,,2,19,14,33
,TOTAL,51,35,152,113,77,61,26,26,16,25,33,34,12,23,9,23,8,17,14,12,15,20,7,16,10,12,9,19,10,14,12,28,435,478,913
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASIG CITY CHILDREN'S HOSPITAL/PASIG CITY COVID-19 REFERRAL CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MONTHLY CENSUS REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AREA: EMERGENCY ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MONTH AND YEAR: JUNE 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOP 10 LEADING CAUSES OF MORTALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASE,AGE DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UNDER 1,,1-4,,5-9,,10-14,,15-18,,19-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70 & OVER,,Grand Total,,
,,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,Grand Total
1.0,DOA,2,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,1,7,1,8
2.0,ACUTE MYOCARDIAL INFARCTION,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,2,3
3.0,ASPIRATION PNEUMONIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,2
4.0,HEMORRHAGIC STROKE ; HYPERTENSIVE EMERGENCY,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,1
5.0,ARF SEC TO ACS-NSTEMI; COVID PROBABLE,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,1
6.0,"HYPOVELEMIC SHOCK SEC TO ANEMIA; SEC TO UGIB VS LGIB; CAP-HR; COVID 19 PROBABLE; T/C MULTIPLE ELEC, IMBALANCE; T/C CKD R/O UROPATHOLOGY",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,0,1
7.0,PENETRATING CARDIAC INJURY SECONDARY TO STABBING INCIDENT,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0,1
8.0,SEPTIC SHOCK SECONDARY TO COMPLICATED URINARY TRACT INFECTION CHRONIC KIDNEY DISEASE COVID PROBABLE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,0,1
9.0,ACUTE PULMONARY CONGESTION SEC TO DECOMPENSATED HEART FAILURE; CAP HR; T/C AKI ON TOP OF PROBABLE CKD; HCVD,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,0,1
10.0,CAP HIGH RISK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,1
,TOTAL,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,1,0,1,1,2,3,16,4,20
